task_name,test_output_grid,hashed_output_grid,task_type,count
47c1f68c.json,|0030000000300|0300000000030|3030000000303|0030000000300|0033000003300|0000000000000|0000000000000|0000000000000|0033000003300|0030000000300|3030000000303|0300000000030|0030000000300|,f31026bff908cadd36e5de25c756aae1,training,20
b230c067.json,|0000000000|0110002220|0010000020|0100000200|0111002222|0000000000|0001110000|0000010000|0000100000|0001111000|,686d97c4f790bf7a53f49e5ceb75e9bd,training,18
fafffa47.json,|020|220|020|,b4de86cab5d3fb3cf7f0920cc40ab664,training,16
f9012d9b.json,|8188188|1881881|8818818|8188188|1881881|8818818|8188188|,1c5fe1913239a349a52348493ed5c52e,training,12
a78176bb.json,|0100100000|0010010000|0001001000|0000100100|0000010010|1000001001|0100000100|0010000010|0001000001|0000100000|,af4ce0979cace44c34fce5c9a9bd99be,training,12
6855a6e4.json,|000000000000000|000000000000000|000000000000000|000222222200000|000200000200000|000005550000000|000055055000000|000000000000000|000000500000000|000055555000000|000200000200000|000222222200000|000000000000000|000000000000000|000000000000000|,0fcecc4e11f63ea7327e2ff64e33ee9a,training,12
73ccf9c2.json,|008800|080080|888888|808808|,8565dde497d7042d810bd0f234a952e7,evaluation,11
445eab21.json,|99|99|,813249ceb040f603c0f8f4bf20a8ec90,training,11
662c240a.json,|111|188|188|,4db420ee20d9579a03f935dbff1ef695,training,10
1f0c79e5.json,|000000000|000000000|000002200|000022200|000222000|002220000|022200000|222000000|220000000|,4fa411aedd6c4cf75b8bbc284f9a23cd,training,10
f8c80d96.json,|4444440040|0000040040|0000040040|4440040040|0040040040|0040040040|4440040040|0000040040|0000040040|4444440040|,c60517fac73948ea0ee213e00736cc7a,training,9
feca6190.json,|000000000000000|000000000000006|000000000000067|000000000000678|000000000006789|000000000067890|000000000678900|000000006789000|000000067890000|000000678900000|000006789000000|000067890000000|000678900000000|006789000000000|067890000000000|,bb0abc022cc7a8f5598042c955b73f2e,training,9
6e82a1ae.json,|0000000002|0000000002|0011022002|0110002002|0000000000|0000000000|2000000000|2003300300|2000000300|0000000000|,15865dae5ce2a2fe925a68288dc04593,training,8
810b9b61.json,|000000011111|011110010001|010010010001|011110010001|000000011011|000000000000|011000000000|000011111000|010010001001|000010001000|000011111000|000000000000|,2d2ed96bb2bc6d385ae196b5d26844b7,training,8
feca6190.json,|0000000000|0000000006|0000000067|0000000678|0000006789|0000067890|0000678900|0006789000|0067890000|0678900000|,5c22f18a146698254dd87bf452c375d9,training,8
8597cfd7.json,|22|22|,7ac4dfba1efe3fdc1367cd58d1ba9f22,evaluation,8
