Task.json,Ground Truth,Human Inaccurate,Induction Accurate,Induction Inaccurate,Human Performance,Potpourri,Potpourri TTF,Potpourri Reranking,"Potpourri TTF Reranking ",Heavy,Heavy TTF
1c56ad9f,"zigzag,rectangle,line,wave","zigzag,rectangle,line,wave",,"change color, diagonal, fill with color/pattern, superlative: size, symmetry",0,1,1,0,1,0,1
b4a43f3b,"change color,scale size,divider,motif,line","change color,scale size,divider,motif,line",,"middle/center, circle, divider, gap/distance, line, move, rectangle, scale size, spiral, square, triangle, vertical & horizontal",0,0,0,0,0,0,0
a8610ef7,"change color,repeat/copy,overlay,symmetry,logical operation",,"alternate, change color, symmetry, zigzag","change color, even/odd, symmetry",0,0,0,0,0,0,0
fea12743,"find pattern/shape/object,change color,logical operation,align","align,color match,repeat/copy",,"alternate, change color, connected, count, edge, fill with color/pattern, hole, object area, divider, superlative: size",9,0,0,0,0,0,1
e6de6e8f,"change color,connect,obstruct,overlap,touch,invert","change color,connected,touch",,"alternate, middle/center, extend/continue/propagate, fill with color/pattern, repeat/copy, replace, line, symmetry",10,0,0,0,0,0,0
0934a4d8,"complete,obstruct,symmetry,random",repeat/copy,,"adjacent,crop/compact/summarize,middle/center,overlay,repeat/copy,scale size,spiral,surround/border/boundary,random",11,0,0,0,0,0,0
7d419a02,"change color,extend/continue/propagate,diagonal,parallel,middle/center,square,diagonal,rectangle",,,"corner, left/right/top/bottom/above/below, middle/center, separate",14,0,0,0,0,0,0
310f3251,"extend/continue/propagate,repeat/copy,corner,diagonal,motif,diagonal",,,"adjacent, alternate, repeat/copy, corner, diagonal, extend/continue/propagate, left/right/top/bottom/above/below, rectangle, surround/border/boundary, symmetry, vertical & horizontal",14,1,1,1,1,1,1
84db8fc4,"change color,fill with color/pattern,edge,connected,surround/border/boundary,random",repeat/copy,,"change color, connected, edge, surround/border/boundary, extend/continue/propagate, fill with color/pattern, left/right/top/bottom/above/below, obstruct, random, shadows",17,1,1,0,1,0,0
66f2d22f,"overlay,logical operation,divider,left/right/top/bottom/above/below",,"left/right/top/bottom/above/below, vertical & horizontal, logical operation, separate",left/right/top/bottom/above/below,18,1,1,1,1,0,1
3ed85e70,"surround/border/boundary,vertical & horizontal, left/right/top/bottom/above/below,divider",,,"bounding box, fill with color/pattern, move, superlative: size",25,0,0,0,0,0,0
3d31c5b3,"overlay,vertical & horizontal,obstruct,divider","overlay,vertical & horizontal,random,obstruct,divider",,"diagonal, middle/center, overlay, vertical & horizontal",27,1,1,1,1,0,1
7953d61e,"symmetry,motif,random",,"middle/center, extend/continue/propagate, left/right/top/bottom/above/below, symmetry",,27,1,1,1,1,0,1
37d3e8b2,"count,change color,hole,rectangle",,"change color, count, hole",change color,29,1,0,0,1,1,1
50f325b5,"change color,find pattern/shape/object,random",,,"L-shape, adjacent, bounding box, change color, diagonal, extend/continue/propagate, left/right/top/bottom/above/below, random, find pattern/shape/object, star/flower/plus/T-shape, surround/border/boundary, symmetry, triangle",29,0,0,0,0,0,0
dc2aa30b,"count,sort,divider",repeat/copy,,"adjacent, motif, crop/compact/summarize, repeat/copy, divider, invert, middle/center, rectangle, replace, superlative: repetition, symmetry, vertical & horizontal",30,0,0,0,0,0,0
aab50785,"find pattern/shape/object,crop/compact/summarize,between,random",,,"middle/center, crop/compact/summarize, fill with color/pattern, obstruct, rectangle, square, superlative: size",38,0,1,0,0,0,0
a59b95c0,"repeat/copy,fill with color/pattern,count,unique: color,find pattern/shape/object,motif","repeat/copy,motif,find pattern/shape/object,fill with color/pattern",,"repeat/copy, unique: color, vertical & horizontal",38,1,1,1,1,1,1
f3b10344,"connect,extend/continue/propagate,path,vertical & horizontal,color match,rectangle,square,count,middle/center,align","connect,extend/continue/propagate,path,vertical & horizontal,color match,rectangle,square,count",,"middle/center, circle, connected, edge, fill with color/pattern, gap/distance, hole, overlap, polygon, rectangle, shadows, touch, vertical & horizontal",38,0,0,0,0,0,0
12eac192,"change color,compare size,object area,random",,"change color, object area, compare size","surround/border/boundary, change color, middle/center, symmetry, touch, vertical & horizontal",38,0,1,0,0,0,0
ccd554ac,"count,random,motif,repeat/copy","random,motif,repeat/copy","corner, count, fill with color/pattern, repeat/copy, vertical & horizontal",,40,1,1,1,1,0,1
2037f2c7,"change color,complete,symmetry,vertical & horizontal",,,"bounding box, change color, crop/compact/summarize, polygon, overlap, rectangle, scale size, square, superlative: size, symmetry",43,0,0,0,0,0,0
14754a24,"change color,complete,obstruct,star/flower/plus/T-shape",,,"adjacent, arm, change color, circle, cluster/clutter, connected, star/flower/plus/T-shape, in/out/contain, separate, find pattern/shape/object, surround/border/boundary",44,0,0,0,0,0,0
