Task.json,Human Performance,S: Basic or Natural Shapes,L: Grid Spatial Layout,F: Object Features and Parts,T_A: Advanced Transformations,T_B: Basic Transformations,Ground Truth,Induction Accurate,Induction Inaccurate,Transduction?,Induction?,Potpourri,Potpourri TTF,Potpourri Reranking,Potpourri TTF Reranking ,Heavy,Heavy TTF,H & Incorrect induction
a8610ef7,0,,,,"logical operation, symmetry","change color, overlay, repeat/copy","change color,repeat/copy,overlay,symmetry,logical operation","alternating, change color, symmetry, zigzag","change color, even/odd, symmetry",0,No,0,0,0,0,0,0,0
b4a43f3b,0,"divider, line, motif",divider,,scale,change color,"change color,scale,divider,motif,line,divider",,"center, circle, divider, gap/distance, line, rearrange, rectangle, scale, spiral, square, triangle, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
1c56ad9f,0,"line, rectangle, wave, zigzag",,,,,"zigzag,rectangle,line,wave",,"change color, diagonal, fill with color, superlative: size, symmetry",4,Yes,1,1,0,1,0,1,0
fea12743,9,,ordered shapes,,logical operation,"change color, object selection","object selection,change color,logical operation,ordered shapes",,"alternate, change color, connected, count, edges, fill with color, hole, object area, separator, superlative: size",1,Yes,0,0,0,0,0,1,0
e6de6e8f,10,,"overlap, touching",obstructed,,"change color, connect","change color,connect,obstructed,overlap,touching",,"alternate, center, extend/continue/propagate, fill with color, repeat, replace, stripe, symmetry",0,Yes,0,0,0,0,0,0,0
0934a4d8,11,,,,symmetry,"complete, obstruction","complete,obstruction,symmetry",,"adjacent, compact/crop, middle/center, overlay, repeat, scale, spiral, surrounded",0,Yes,0,0,0,0,0,0,0
7d419a02,14,"diagonal, rectangle, square","center/middle, parallel",diagonal,,"change color, extend/continue","change color,extend/continue,diagonal,parallel,center/middle,square,diagonal,rectangle",,"corner, left/right/top/bottom/above/below, middle/center, separate",0,Yes,0,0,0,0,0,0,0
310f3251,14,"diagonal, motif",,"corner, diagonal",,"extend/continue, repeat/copy","extend/continue,repeat/copy,corner,diagonal,motif,diagonal",,"adjacent, alternate, copy, corner, diagonal, extend/continue/propagate, left/right/top/bottom/above/below, rectangle, surrounded, symmetry, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
84db8fc4,17,random,"border, connectedness","connected component, edge",,"change color, fill with color","change color,fill with color,edge,connected component,connectedness,border,random",,"change color, connected, connected component, edges, enclosed, extend/continue/propagate, fill with color, left/right/top/bottom/above/below, obstacle, random, shadows, surrounded",3,Yes,1,1,0,1,0,0,0
66f2d22f,18,divider,"divider, left/right/top/bottom/above/below",,logical operation,overlay,"overlay,logical operation,divider,left/right/top/bottom/above/below,divider","bottom, horizontal, logical operation, separate",left/right/top/bottom/above/below,5,No,1,1,1,1,0,1,0
